INSERT INTO `npc_trainer` (`ID`,`SpellID`,`MoneyCost`,`ReqSkillLine`,`ReqSkillRank`,`ReqLevel`) VALUES 
('95006','57269','712','773','140','0'),
('95006','57270','4275','773','215','0'),
('95006','57271','712','773','165','0'),
('95006','57272','60165','773','275','0'),
('95006','57274','7125','773','240','0'),
('95006','57275','30000','773','325','0'),
('95006','57277','2850','773','190','0'),
('95006','57703','380','773','85','0'),
('95006','57704','380','773','100','0'),
('95006','57706','712','773','125','0'),
('95006','57707','712','773','150','0'),
('95006','57708','712','773','175','0'),
('95006','57709','2850','773','200','0'),
('95006','57710','5700','773','225','0'),
('95006','57711','60165','773','250','0'),
('95006','57712','60165','773','275','0'),
('95006','57713','19000','773','290','0'),
('95006','57714','20000','773','325','0'),
('95006','57715','50000','773','350','0'),
('95006','57716','50000','773','375','0'),
('95006','58472','47','773','15','0'),
('95006','58473','380','773','85','0'),
('95006','58476','712','773','175','0'),
('95006','58478','4275','773','225','0'),
('95006','58480','60165','773','270','0'),
('95006','58481','19000','773','310','0'),
('95006','58482','50000','773','370','0'),
('95006','58483','60000','773','420','0'),
('95006','58484','47','773','15','0'),
('95006','58485','380','773','80','0'),
('95006','58486','712','773','170','0'),
('95006','58487','4275','773','220','0'),
('95006','58488','60165','773','265','0'),
('95006','58489','19000','773','305','0'),
('95006','58490','50000','773','365','0'),
('95006','58491','60000','773','415','0'),
('95006','58565','475','773','110','0'),
('95006','59338','20000','773','310','0'),
('95006','59339','20000','773','320','0'),
('95006','59340','30000','773','340','0'),
('95006','59387','2850','773','200','0'),
('95006','59475','712','773','125','0'),
('95006','59478','712','773','125','0'),
('95006','59480','712','773','125','0'),
('95006','59484','712','773','175','0'),
('95006','59486','712','773','175','0'),
('95006','59487','712','773','175','0'),
('95006','59488','5700','773','235','0'),
('95006','59489','5700','773','225','0'),
('95006','59490','5700','773','225','0'),
('95006','59491','5700','773','225','0'),
('95006','59493','60165','773','275','0'),
('95006','59494','60165','773','275','0'),
('95006','59495','20000','773','325','0'),
('95006','59496','20000','773','325','0'),
('95006','59497','50000','773','400','0'),
('95006','59498','50000','773','400','0'),
('95006','59499','2850','773','200','0'),
('95006','59500','50000','773','350','0'),
('95006','59501','100000','773','400','0'),
('95006','59502','60165','773','275','0'),
('95006','59503','20000','773','325','0'),
('95006','59504','50000','773','400','0'),
('95006','60336','2850','773','200','0'),
('95006','60337','50000','773','350','0'),
('95006','61117','75000','773','400','35'),
('95006','61118','75000','773','400','35'),
('95006','61119','75000','773','400','35'),
('95006','61120','75000','773','400','35'),
('95006','61177','100000','773','385','0'),
('95006','61288','6015','773','75','0'),
('95006','62162','50000','773','375','0'),
('95006','64053','50000','773','350','0'),
('95006','64258','10000','773','250','0'),
('95006','64259','10000','773','255','0'),
('95006','64260','10000','773','255','0'),
('95006','64261','10000','773','250','0'),
('95006','64262','10000','773','255','0'),
('95006','64266','10000','773','275','0'),
('95006','64267','10000','773','280','0'),
('95006','67600','400','773','100','0'),
('95006','69385','200000','773','440','0'),
('95007','25245','10','0','0','5'),
('95007','25246','500','755','50','10'),
('95007','25278','200','755','50','0'),
('95007','25280','200','755','50','0'),
('95007','25283','100','755','30','0'),
('95007','25284','400','755','60','0'),
('95007','25287','400','755','70','0'),
('95007','25305','1000','755','90','0'),
('95007','25317','600','755','80','0'),
('95007','25318','800','755','100','0'),
('95007','25321','1500','755','120','0'),
('95007','25490','300','755','50','0'),
('95007','25498','600','755','110','0'),
('95007','25613','1200','755','135','0'),
('95007','25615','1500','755','150','0'),
('95007','25620','2000','755','170','0'),
('95007','25621','2000','755','180','0'),
('95007','26872','2500','755','200','0'),
('95007','26874','5000','755','210','0'),
('95007','26876','3000','755','220','0'),
('95007','26880','3500','755','225','0'),
('95007','26883','4000','755','235','0'),
('95007','26885','5000','755','240','0'),
('95007','26902','10000','755','260','0'),
('95007','26903','10000','755','275','0'),
('95007','26907','10000','755','280','0'),
('95007','26908','12000','755','280','0'),
('95007','26911','15000','755','290','0'),
('95007','26916','20000','755','310','0'),
('95007','26926','50','755','5','0'),
('95007','26927','300','755','50','0'),
('95007','26928','100','755','30','0'),
('95007','28896','5000','755','125','20'),
('95007','28899','50000','755','200','35'),
('95007','28901','100000','755','275','50'),
('95007','28903','10000','755','300','0'),
('95007','28905','10000','755','305','0'),
('95007','28910','10000','755','300','0'),
('95007','28914','10000','755','315','0'),
('95007','28916','10000','755','300','0'),
('95007','28917','10000','755','305','0'),
('95007','28925','10000','755','300','0'),
('95007','28936','10000','755','325','0'),
('95007','28938','10000','755','300','0'),
('95007','28948','10000','755','325','0'),
('95007','28950','10000','755','300','0'),
('95007','28953','10000','755','305','0'),
('95007','31048','20000','755','310','0'),
('95007','31049','20000','755','310','0'),
('95007','31050','25000','755','320','0'),
('95007','31051','30000','755','335','0'),
('95007','31052','30000','755','335','0'),
('95007','31252','100','755','20','5'),
('95007','32178','100','755','20','0'),
('95007','32179','100','755','20','0'),
('95007','32801','200','755','50','0'),
('95007','32807','600','755','110','0'),
('95007','32808','2000','755','175','0'),
('95007','32809','3500','755','225','0'),
('95007','34069','10000','755','325','0'),
('95007','34590','10000','755','305','0'),
('95007','34955','2500','755','180','0'),
('95007','34959','3000','755','200','0'),
('95007','34960','10000','755','280','0'),
('95007','34961','10000','755','290','0'),
('95007','36523','600','755','75','0'),
('95007','36524','800','755','105','0'),
('95007','36525','4000','755','230','0'),
('95007','36526','10000','755','265','0'),
('95007','37818','500','755','65','0'),
('95007','38068','20000','755','325','0'),
('95007','38175','650','755','80','0'),
('95007','40514','8500','755','340','0'),
('95007','41414','10000','755','325','0'),
('95007','41415','10000','755','330','0'),
('95007','41418','30000','755','365','0'),
('95007','41420','8500','755','325','0'),
('95007','41429','10000','755','350','0'),
('95007','47280','30000','755','350','0'),
('95007','51310','350000','755','350','65'),
('95007','53831','10000','755','350','0'),
('95007','53832','10000','755','350','0'),
('95007','53834','10000','755','350','0'),
('95007','53835','10000','755','350','0'),
('95007','53843','10000','755','360','0'),
('95007','53844','10000','755','350','0'),
('95007','53845','10000','755','350','0'),
('95007','53852','10000','755','350','0'),
('95007','53853','10000','755','350','0'),
('95007','53854','10000','755','350','0'),
('95007','53855','10000','755','350','0'),
('95007','53856','10000','755','350','0'),
('95007','53859','10000','755','350','0'),
('95007','53860','10000','755','350','0'),
('95007','53861','10000','755','350','0'),
('95007','53862','10000','755','350','0'),
('95007','53863','10000','755','350','0'),
('95007','53864','10000','755','350','0'),
('95007','53866','10000','755','350','0'),
('95007','53867','10000','755','350','0'),
('95007','53868','10000','755','360','0'),
('95007','53870','10000','755','350','0'),
('95007','53871','10000','755','350','0'),
('95007','53872','10000','755','350','0'),
('95007','53873','10000','755','350','0'),
('95007','53874','10000','755','350','0'),
('95007','53876','10000','755','350','0'),
('95007','53878','10000','755','350','0'),
('95007','53880','10000','755','350','0'),
('95007','53881','10000','755','350','0'),
('95007','53882','10000','755','350','0'),
('95007','53883','10000','755','350','0'),
('95007','53886','10000','755','350','0'),
('95007','53887','10000','755','350','0'),
('95007','53889','10000','755','350','0'),
('95007','53890','10000','755','350','0'),
('95007','53891','10000','755','360','0'),
('95007','53892','10000','755','350','0'),
('95007','53893','10000','755','350','0'),
('95007','53894','10000','755','350','0'),
('95007','53916','10000','755','350','0'),
('95007','53918','10000','755','350','0'),
('95007','53920','10000','755','350','0'),
('95007','53922','10000','755','350','0'),
('95007','53923','10000','755','350','0'),
('95007','53925','10000','755','350','0'),
('95007','53926','10000','755','350','0'),
('95007','53927','10000','755','350','0'),
('95007','53928','10000','755','350','0'),
('95007','53930','10000','755','350','0'),
('95007','53931','10000','755','350','0'),
('95007','53934','10000','755','350','0'),
('95007','53940','10000','755','350','0'),
('95007','53941','10000','755','350','0'),
('95007','53947','100000','755','390','0'),
('95007','53953','100000','755','390','0'),
('95007','53956','100000','755','390','0'),
('95007','53969','100000','755','390','0'),
('95007','53989','100000','755','390','0'),
('95007','54007','100000','755','390','0'),
('95007','54017','10000','755','350','0'),
('95007','55386','120000','755','420','0'),
('95007','55394','120000','755','420','0'),
('95007','55399','120000','755','420','0'),
('95007','55402','120000','755','420','0'),
('95007','56193','30000','755','350','0'),
('95007','56194','30000','755','350','0'),
('95007','56195','120000','755','380','0'),
('95007','56196','80000','755','380','0'),
('95007','56197','100000','755','420','0'),
('95007','56199','150000','755','400','0'),
('95007','56201','150000','755','400','0'),
('95007','56202','150000','755','400','0'),
('95007','56203','150000','755','400','0'),
('95007','56205','10000','755','350','0'),
('95007','56206','20000','755','360','0'),
('95007','56208','20000','755','370','0'),
('95007','56530','20000','755','360','0'),
('95007','56531','100000','755','390','0'),
('95007','58141','30000','755','350','0'),
('95007','58142','30000','755','350','0'),
('95007','58143','30000','755','370','0'),
('95007','58144','30000','755','370','0'),
('95007','58145','50000','755','390','0'),
('95007','58146','50000','755','390','0'),
('95007','59759','150000','755','400','0'),
('95007','62242','150000','755','425','0'),
('95007','62941','10000','755','300','0'),
('95007','63743','3000','755','200','0'),
('95007','64725','100000','755','420','0'),
('95007','64726','100000','755','420','0'),
('95007','64727','100000','755','420','0'),
('95007','64728','100000','755','420','0'),
('95008','10482','2000','165','200','0'),
('95008','10487','2000','165','200','0'),
('95008','10499','3000','165','205','0'),
('95008','10507','3000','165','205','0'),
('95008','10511','3000','165','210','0'),
('95008','10518','3500','165','210','0'),
('95008','10548','4000','165','230','0'),
('95008','10552','4000','165','230','0'),
('95008','10556','4500','165','235','0'),
('95008','10558','4500','165','235','0'),
('95008','10619','10000','165','225','0'),
('95008','10621','10000','165','225','0'),
('95008','10630','10000','165','230','0'),
('95008','10632','10000','165','250','0'),
('95008','10647','10000','165','250','0'),
('95008','10650','10000','165','255','0'),
('95008','10656','20000','165','225','40'),
('95008','10658','20000','165','225','40'),
('95008','10660','20000','165','225','40'),
('95008','14930','4000','165','225','0'),
('95008','14932','4000','165','225','0'),
('95008','19047','5000','165','250','0'),
('95008','19052','10000','165','265','0'),
('95008','19055','10000','165','270','0'),
('95008','19058','5000','165','250','0'),
('95008','19065','10000','165','275','0'),
('95008','19071','10000','165','280','0'),
('95008','19072','10000','165','280','0'),
('95008','19082','15000','165','290','0'),
('95008','19083','15000','165','290','0'),
('95008','19091','15000','165','300','0'),
('95008','19092','15000','165','300','0'),
('95008','19098','15000','165','300','0'),
('95008','19102','15000','165','300','0'),
('95008','19103','15000','165','300','0'),
('95008','20648','500','165','100','0'),
('95008','20649','1000','165','150','0'),
('95008','20650','4000','165','200','0'),
('95008','2153','50','165','15','0'),
('95008','2159','250','165','85','0'),
('95008','2160','100','165','40','0'),
('95008','2161','100','165','55','0'),
('95008','2162','100','165','60','0'),
('95008','2165','250','165','100','0'),
('95008','2166','450','165','120','0'),
('95008','2167','350','165','100','0'),
('95008','2168','350','165','110','0'),
('95008','22331','5000','165','250','0'),
('95008','24654','50000','165','300','0'),
('95008','24655','30000','165','280','0'),
('95008','2154','500','165','50','10'),
('95008','32454','10000','165','300','0'),
('95008','32455','20000','165','325','0'),
('95008','32456','15000','165','300','0'),
('95008','32462','15000','165','300','0'),
('95008','32463','20000','165','310','0'),
('95008','32464','20000','165','320','0'),
('95008','32465','25000','165','335','0'),
('95008','32466','15000','165','300','0'),
('95008','32467','20000','165','310','0'),
('95008','32468','20000','165','325','0'),
('95008','32469','25000','165','335','0'),
('95008','32470','15000','165','300','0'),
('95008','32471','20000','165','315','0'),
('95008','32472','20000','165','320','0'),
('95008','32473','25000','165','330','0'),
('95008','32478','15000','165','300','0'),
('95008','32479','20000','165','310','0'),
('95008','32480','20000','165','320','0'),
('95008','32481','25000','165','330','0'),
('95008','35540','20000','165','340','0'),
('95008','35575','100000','165','375','0'),
('95008','35576','100000','165','375','0'),
('95008','35577','100000','165','375','0'),
('95008','35580','100000','165','375','0'),
('95008','35582','100000','165','375','0'),
('95008','35584','100000','165','375','0'),
('95008','35585','100000','165','375','0'),
('95008','35587','100000','165','375','0'),
('95008','35588','100000','165','375','0'),
('95008','35589','100000','165','375','0'),
('95008','35590','100000','165','375','0'),
('95008','35591','100000','165','375','0'),
('95008','36074','10000','165','260','0'),
('95008','36075','10000','165','260','0'),
('95008','36076','10000','165','260','0'),
('95008','36077','20000','165','330','0'),
('95008','36078','20000','165','330','0'),
('95008','36079','40000','165','330','0'),
('95008','3753','75','165','25','0'),
('95008','3756','150','165','55','0'),
('95008','3759','200','165','75','0'),
('95008','3760','600','165','150','0'),
('95008','3761','350','165','85','0'),
('95008','3763','300','165','80','0'),
('95008','3764','500','165','145','0'),
('95008','3766','400','165','125','0'),
('95008','3768','500','165','130','0'),
('95008','3770','500','165','135','0'),
('95008','3774','1000','165','160','0'),
('95008','3776','1200','165','180','0'),
('95008','3780','750','165','150','0'),
('95008','3816','50','165','35','0'),
('95008','3817','200','165','100','0'),
('95008','3818','500','165','150','0'),
('95008','44343','18000','165','315','0'),
('95008','44344','18000','165','315','0'),
('95008','44770','50000','165','350','0'),
('95008','44970','50000','165','350','0'),
('95008','45100','15000','165','300','0'),
('95008','6661','2000','165','190','0'),
('95008','7135','400','165','115','0'),
('95008','7147','1000','165','160','0'),
('95008','7151','1200','165','175','0'),
('95008','7156','2400','165','190','0'),
('95008','9060','100','165','30','0'),
('95008','9062','100','165','30','0'),
('95008','9065','150','165','70','0'),
('95008','9068','400','165','95','0'),
('95008','9074','500','165','120','0'),
('95008','9145','500','165','125','0'),
('95008','9193','500','165','150','0'),
('95008','9194','500','165','150','0'),
('95008','9196','1500','165','175','0'),
('95008','9198','2000','165','180','0'),
('95008','9201','2000','165','185','0'),
('95008','9206','2500','165','195','0'),
('95008','2155','10','0','0','5'),
('95008','3812','5000','165','125','20'),
('95008','10663','50000','165','200','35'),
('95008','32550','100000','165','275','50'),
('95008','50936','80000','165','390','0'),
('95008','50938','30000','165','375','0'),
('95008','50939','30000','165','370','0'),
('95008','50940','30000','165','380','0'),
('95008','50941','30000','165','370','0'),
('95008','50942','30000','165','375','0'),
('95008','50943','30000','165','380','0'),
('95008','50944','30000','165','370','0'),
('95008','50945','30000','165','375','0'),
('95008','50946','30000','165','380','0'),
('95008','50947','30000','165','375','0'),
('95008','50948','30000','165','370','0'),
('95008','50949','30000','165','380','0'),
('95008','50950','30000','165','375','0'),
('95008','50951','30000','165','370','0'),
('95008','50952','30000','165','375','0'),
('95008','50953','30000','165','380','0'),
('95008','50954','30000','165','380','0'),
('95008','50955','30000','165','370','0'),
('95008','50956','30000','165','375','0'),
('95008','50957','30000','165','370','0'),
('95008','50958','30000','165','380','0'),
('95008','50959','30000','165','370','0'),
('95008','50960','30000','165','380','0'),
('95008','50961','30000','165','375','0'),
('95008','50962','50000','165','350','0'),
('95008','50963','80000','165','395','0'),
('95008','50964','50000','165','405','0'),
('95008','50965','80000','165','425','0'),
('95008','50966','50000','165','400','0'),
('95008','50967','80000','165','425','0'),
('95008','51301','350000','165','350','65'),
('95008','51568','100000','165','400','0'),
('95008','51569','80000','165','395','0'),
('95008','51570','80000','165','395','0'),
('95008','51571','30000','165','385','0'),
('95008','51572','30000','165','385','0'),
('95008','55199','80000','165','395','0'),
('95008','57683','70000','165','400','0'),
('95008','57690','70000','165','400','0'),
('95008','57691','70000','165','400','0'),
('95008','60583','50000','165','405','0'),
('95008','60584','50000','165','400','0'),
('95008','60599','30000','165','385','0'),
('95008','60600','30000','165','385','0'),
('95008','60601','80000','165','395','0'),
('95008','60604','80000','165','395','0'),
('95008','60605','100000','165','400','0'),
('95008','60607','30000','165','385','0'),
('95008','60608','30000','165','385','0'),
('95008','60611','80000','165','395','0'),
('95008','60613','80000','165','395','0'),
('95008','60620','100000','165','400','0'),
('95008','60622','30000','165','385','0'),
('95008','60624','30000','165','385','0'),
('95008','60627','80000','165','395','0'),
('95008','60629','80000','165','395','0'),
('95008','60630','80000','165','400','0'),
('95008','60631','80000','165','380','0'),
('95008','60637','200000','165','440','0'),
('95008','60640','200000','165','440','0'),
('95008','60643','50000','165','415','0'),
('95008','60649','100000','165','425','0'),
('95008','60651','100000','165','420','0'),
('95008','60652','100000','165','420','0'),
('95008','60655','200000','165','425','0'),
('95008','60658','200000','165','420','0'),
('95008','60660','100000','165','425','0'),
('95008','60665','100000','165','420','0'),
('95008','60666','80000','165','420','0'),
('95008','60669','100000','165','425','0'),
('95008','60671','100000','165','420','0'),
('95008','62448','80000','165','425','0'),
('95008','64661','50000','165','350','0'),
('95008','69386','200000','165','450','0'),
('95008','69388','200000','165','450','0'),
('95009','2581','10','186','0','0'),
('95009','2582','500','186','50','0'),
('95009','2658','200','186','75','0'),
('95009','2659','200','186','65','0'),
('95009','3304','50','186','65','0'),
('95009','3307','500','186','125','0'),
('95009','3308','2500','186','155','0'),
('95009','3568','5000','186','125','10'),
('95009','3569','2500','186','165','0'),
('95009','10097','5000','186','175','0'),
('95009','10098','10000','186','230','0'),
('95009','10249','50000','186','200','25'),
('95009','14891','35000','186',230,'40'),
('95009','16153','20000','186','250','0'),
('95009','29355','100000','186','275','50'),
('95009','29356','40000','186','300','0'),
('95009','29358','40000','186','325','0'),
('95009','29359','40000','186','350','0'),
('95009','29360','40000','186','350','0'),
('95009','29361','100000','186','350','0'),
('95009','29686','100000','186','375','0'),
('95009','35750','10000','186','300','0'),
('95009','35751','10000','186','300','0'),
('95009','49252','100000','186','350','0'),
('95009','49258','150000','186','400','0'),
('95009','50309','350000','186','350','55'),
('95009','55208','200000','186','450','0'),
('95009','55211','200000','186','450','0'),
('95009','70524','10000','186','250','0'),
('95010','8615','10','0','0','0'),
('95010','8619','500','393','50','0'),
('95010','8620','5000','393','125','10'),
('95010','10769','50000','393','200','25'),
('95010','32679','100000','393','275','50'),
('95010','50307','350000','393','350','55'),
('95011','12055','5500','197','215','0'),
('95011','12071','6000','197','225','0'),
('95011','12076','6500','197','235','0'),
('95011','12082','7000','197','240','0'),
('95011','26797','20000','197','350','60'),
('95011','26798','20000','197','350','60'),
('95011','26801','20000','197','350','60'),
('95011','3915','25','197','1','0'),
('95011','2385','50','197','10','0'),
('95011','2386','200','197','65','0'),
('95011','2392','50','197','40','0'),
('95011','2393','25','197','1','0'),
('95011','2394','50','197','40','0'),
('95011','2395','300','197','70','0'),
('95011','2396','200','197','70','0'),
('95011','2397','200','197','60','0'),
('95011','2399','300','197','85','0'),
('95011','2401','300','197','95','0'),
('95011','2402','250','197','75','0'),
('95011','2406','200','197','100','0'),
('95011','2964','100','197','75','0'),
('95011','3755','100','197','45','0'),
('95011','3757','200','197','80','0'),
('95011','3813','800','197','150','0'),
('95011','3839','500','197','125','0'),
('95011','3840','100','197','35','0'),
('95011','3841','200','197','60','0'),
('95011','3842','300','197','70','0'),
('95011','3843','400','197','85','0'),
('95011','3845','300','197','80','0'),
('95011','3848','500','197','110','0'),
('95011','3850','500','197','110','0'),
('95011','3852','750','197','130','0'),
('95011','3855','750','197','125','0'),
('95011','3859','750','197','150','0'),
('95011','3861','1000','197','185','0'),
('95011','3865','1000','197','175','0'),
('95011','3866','250','197','110','0'),
('95011','3871','500','197','170','0'),
('95011','3911','10','0','0','5'),
('95011','3912','500','197','50','10'),
('95011','3913','5000','197','125','20'),
('95011','3914','50','197','30','0'),
('95011','6521','400','197','90','0'),
('95011','6690','1000','197','135','0'),
('95011','7623','50','197','30','0'),
('95011','7624','50','197','30','0'),
('95011','8465','50','197','40','0'),
('95011','8467','250','197','110','0'),
('95011','8483','500','197','160','0'),
('95011','8489','750','197','175','0'),
('95011','8758','600','197','140','0'),
('95011','8760','600','197','145','0'),
('95011','8762','750','197','160','0'),
('95011','8764','900','197','170','0'),
('95011','8766','1000','197','175','0'),
('95011','8770','1000','197','190','0'),
('95011','8772','1000','197','175','0'),
('95011','8774','1000','197','180','0'),
('95011','8776','50','197','15','0'),
('95011','8791','2500','197','185','0'),
('95011','8799','3000','197','195','0'),
('95011','8804','5000','197','210','0'),
('95011','12045','50','197','20','0'),
('95011','12046','300','197','75','0'),
('95011','12048','4000','197','205','0'),
('95011','12049','4000','197','205','0'),
('95011','12050','4000','197','210','0'),
('95011','12053','5000','197','215','0'),
('95011','12061','2500','197','215','0'),
('95011','12065','5000','197','225','0'),
('95011','12067','5000','197','225','0'),
('95011','12069','5000','197','225','0'),
('95011','12070','5000','197','225','0'),
('95011','12072','6000','197','230','0'),
('95011','12073','6000','197','230','0'),
('95011','12074','6000','197','230','0'),
('95011','12077','5000','197','235','0'),
('95011','12079','6500','197','235','0'),
('95011','12088','7500','197','245','0'),
('95011','12092','7500','197','250','0'),
('95011','12181','50000','197','200','35'),
('95011','18401','10000','197','250','0'),
('95011','18402','10000','197','255','0'),
('95011','18403','10000','197','255','0'),
('95011','18406','10000','197','260','0'),
('95011','18407','10000','197','260','0'),
('95011','18409','10000','197','265','0'),
('95011','18410','10000','197','265','0'),
('95011','18411','10000','197','265','0'),
('95011','18413','10000','197','270','0'),
('95011','18414','10000','197','270','0'),
('95011','18415','10000','197','270','0'),
('95011','18416','12500','197','275','0'),
('95011','18417','12500','197','275','0'),
('95011','18420','12500','197','275','0'),
('95011','18421','12500','197','275','0'),
('95011','18423','15000','197','280','0'),
('95011','18424','15000','197','280','0'),
('95011','18437','15000','197','285','0'),
('95011','18438','15000','197','285','0'),
('95011','18441','15000','197','290','0'),
('95011','18442','15000','197','290','0'),
('95011','18444','15000','197','295','0'),
('95011','18446','15000','197','300','0'),
('95011','18449','15000','197','300','0'),
('95011','18450','15000','197','300','0'),
('95011','18451','15000','197','300','0'),
('95011','18453','15000','197','300','0'),
('95011','26745','20000','197','300','0'),
('95011','26746','15000','197','315','0'),
('95011','26764','15000','197','310','0'),
('95011','26765','15000','197','310','0'),
('95011','26770','20000','197','320','0'),
('95011','26771','20000','197','325','0'),
('95011','26772','20000','197','335','0'),
('95011','26791','100000','197','275','50'),
('95011','31460','20000','197','300','0'),
('95011','51308','350000','197','350','65'),
('95011','55642','125000','197','420','0'),
('95011','55769','125000','197','420','0'),
('95011','55777','125000','197','420','0'),
('95011','55898','50000','197','360','0'),
('95011','55899','50000','197','350','0'),
('95011','55900','125000','197','400','0'),
('95011','55901','50000','197','395','0'),
('95011','55902','50000','197','350','0'),
('95011','55903','50000','197','360','0'),
('95011','55904','50000','197','360','0'),
('95011','55906','50000','197','375','0'),
('95011','55907','50000','197','380','0'),
('95011','55908','50000','197','370','0'),
('95011','55910','80000','197','385','0'),
('95011','55911','80000','197','390','0'),
('95011','55913','80000','197','385','0'),
('95011','55914','50000','197','395','0'),
('95011','55919','100000','197','395','0'),
('95011','55920','50000','197','400','0'),
('95011','55921','100000','197','405','0'),
('95011','55922','100000','197','405','0'),
('95011','55923','100000','197','410','0'),
('95011','55924','125000','197','410','0'),
('95011','55925','125000','197','415','0'),
('95011','55941','125000','197','420','0'),
('95011','55943','125000','197','415','0'),
('95011','55995','50000','197','400','0'),
('95011','56000','50000','197','400','0'),
('95011','56001','100000','197','415','0'),
('95011','56002','100000','197','415','0'),
('95011','56003','100000','197','415','0'),
('95011','56007','80000','197','410','0'),
('95011','56008','100000','197','400','0'),
('95011','56010','100000','197','400','0'),
('95011','56014','100000','197','390','0'),
('95011','56015','100000','197','395','0'),
('95011','56018','100000','197','425','0'),
('95011','56019','100000','197','420','0'),
('95011','56020','100000','197','420','0'),
('95011','56021','100000','197','425','0'),
('95011','56022','100000','197','420','0'),
('95011','56023','100000','197','420','0'),
('95011','56024','200000','197','440','0'),
('95011','56025','200000','197','435','0'),
('95011','56026','200000','197','440','0'),
('95011','56027','200000','197','435','0'),
('95011','56028','200000','197','440','0'),
('95011','56029','200000','197','435','0'),
('95011','56030','50000','197','380','0'),
('95011','56031','50000','197','350','0'),
('95011','56034','100000','197','405','0'),
('95011','56039','100000','197','405','0'),
('95011','56048','125000','197','410','0'),
('95011','59582','100000','197','415','0'),
('95011','59583','100000','197','415','0'),
('95011','59584','100000','197','420','0'),
('95011','59585','100000','197','420','0'),
('95011','59586','100000','197','420','0'),
('95011','59587','100000','197','420','0'),
('95011','59588','120000','197','420','0'),
('95011','59589','120000','197','420','0'),
('95011','60969','105000','197','300','0'),
('95011','60971','150000','197','425','0'),
('95011','60990','180000','197','420','0'),
('95011','60993','180000','197','425','0'),
('95011','60994','180000','197','420','0'),
('95011','63742','750','197','125','0'),
('95011','64729','100000','197','400','0'),
('95011','64730','100000','197','405','0'),
('95012','21175','4000','185','200','0'),
('95012','6500','300','185','125','0'),
('95012','2546','150','185','80','0'),
('95012','2544','200','185','75','0'),
('95012','6499','100','185','50','0'),
('95012','2541','100','185','50','0'),
('95012','2539','50','185','10','0'),
('95012','37836','10','185','1','0'),
('95012','18261','25000','185','200','0'),
('95012','54257','1000','185','125','0'),
('95012','3412','500','185','50','0'),
('95012','2551','100','0','0','0'),
('95012','54256','100000','185','275','0'),
('95012','64358','50000','185','400','0'),
('95012','45554','50000','185','375','0'),
('95012','45569','20000','185','350','0'),
('95012','45566','20000','185','350','0'),
('95012','45565','20000','185','350','0'),
('95012','45564','20000','185','350','0'),
('95012','45563','20000','185','350','0'),
('95012','45562','10000','185','350','0'),
('95012','45561','10000','185','350','0'),
('95012','45560','10000','185','350','0'),
('95012','45553','20000','185','350','0'),
('95012','45552','20000','185','350','0'),
('95012','45551','20000','185','350','0'),
('95012','45550','20000','185','350','0'),
('95012','45549','20000','185','350','0'),
('95012','51295','350000','185','350','0'),
('95012','58065','20000','185','350','0'),
('95013','18630','20000','129','290','0'),
('95013','10841','10000','129','240','0'),
('95013','18629','20000','129','260','0'),
('95013','7934','250','129','80','0'),
('95013','10840','10000','129','210','0'),
('95013','7929','5000','129','180','0'),
('95013','7928','5000','129','150','0'),
('95013','3278','1000','129','115','0'),
('95013','3277','250','129','80','0'),
('95013','54254','1000','129','125','0'),
('95013','3276','100','129','40','0'),
('95013','10847','25000','129','200','35'),
('95013','3280','500','129','50','0'),
('95013','3279','100','0','0','0'),
('95013','27033','20000','129','360','0'),
('95013','27032','20000','129','330','0'),
('95013','54255','20000','129','275','50'),
('95013','45545','40000','129','350','0'),
('95013','50299','350000','129','350','65'),
('95014','18249','25000','356','200','10'),
('95014','54083','10000','356','125','10'),
('95014','7733','100','0','0','5'),
('95014','7734','500','356','50','10'),
('95014','54084','100000','356','275','10'),
('95014','51293','350000','356','350','10');

update creature_template set trainer_type = 2 where entry = 95001;
update creature_template set trainer_type = 2 where entry = 95002;
update creature_template set trainer_type = 2 where entry = 95003;
update creature_template set trainer_type = 2 where entry = 95004;
update creature_template set trainer_type = 2 where entry = 95005;
update creature_template set trainer_type = 2 where entry = 95006;
update creature_template set trainer_type = 2 where entry = 95007;
update creature_template set trainer_type = 2 where entry = 95008;
update creature_template set trainer_type = 2 where entry = 95009;
update creature_template set trainer_type = 2 where entry = 95010;
update creature_template set trainer_type = 2 where entry = 95011;
update creature_template set trainer_type = 2 where entry = 95012;
update creature_template set trainer_type = 2 where entry = 95013;
update creature_template set trainer_type = 2 where entry = 95014;
update creature_template set trainer_type = 2 where entry = 95025;
update creature_template set trainer_type = 2 where entry = 95026;

DELETE FROM `npc_trainer` WHERE (`ID` = 95026) AND (`SpellID` IN (33389, 33392, 34092, 34093, 54197, 0));
INSERT INTO `npc_trainer` (`ID`, `SpellID`, `MoneyCost`, `ReqSkillLine`, `ReqSkillRank`, `ReqLevel`) VALUES
(95026, 33389, 40000, 0, 0, 20),
(95026, 33392, 500000, 762, 75, 40),
(95026, 34092, 2500000, 762, 150, 60),
(95026, 34093, 50000000, 762, 225, 70),
(95026, 54197, 10000000, 762, 225, 77),
(95026, 0, 0, 0, 0, 0);

DELETE FROM `npc_trainer` WHERE (`ID` = 95025) AND (`SpellID` IN (196, 197, 198, 199, 200, 201, 202, 227, 264, 266, 1180, 2567, 5011, 15590, 0));
